District,Latitude,Longitude,Shop_type,OP_time,Ultra_food,Per_ultra,Ready_food,CERE,WHITE,VITAMINV,VITAMINRT,DARKV,OTHERV,VITAMINF,OTHERF,ORGANM,FLESHM,FISH,INSECTSV,EGGS,MILK,NUTS,LEGUM,OILF,SWEETS,SAB,OUT_CER
1,21.037443,105.826767,8,4,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0
1,21.035189,105.823856,8,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
1,21.029403,105.82344,8,4,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
2,21.016077,105.834694,6,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.025276,105.837358,7,4,1,10,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,21.037708,105.815492,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.008484,105.815459,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,21.047286,105.847195,3,1,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
2,21.021627,105.839316,5,2,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
2,21.005506,105.831443,5,4,1,15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,21.034388,105.810348,6,4,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,21.037343,105.814142,6,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.028682,105.840204,7,4,1,20,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0
1,21.035185,105.812667,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.016012,105.81198,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.02811,105.81,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.012829,105.832487,3,2,1,30,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2,21.005938,105.833268,5,2,1,30,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
2,21.006573,105.82342,5,3,1,30,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1
2,21.024706,105.833233,4,4,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
2,21.006206,105.835455,6,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.022462,105.815308,6,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.022812,105.828506,7,4,1,30,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2,21.011003,105.817991,7,4,1,30,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2,21.012284,105.816921,3,1,1,40,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2,21.026369,105.832633,3,2,1,40,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2,21.019878,105.827114,3,2,1,40,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
